time,edge_id,vehicle_count
20.0,-300077497#5,1
20.0,-35274074#2,1
20.0,-593847703#3,1
20.0,1068440004#1,1
20.0,196961215#2,1
20.0,263217604#0,1
20.0,288878927,1
20.0,360851262#0,1
20.0,48794887#0,1
20.0,49695733#0,1
20.0,506322851#0,1
20.0,506322853#0,1
20.0,593847701,1
20.0,593847702#3,1
20.0,593852346,1
40.0,-300077497#5,1
40.0,-35274074#2,1
40.0,-593847703#3,3
40.0,1068440004#1,1
40.0,263217604#0,1
40.0,288878926#0,1
40.0,353392316#0,1
40.0,49695733#2,1
40.0,506322840#0,1
40.0,506322844#0,1
40.0,506322851#0,1
40.0,506322853#0,1
40.0,593847702#3,1
40.0,594658762#0,1
40.0,:3086736518_1,1
40.0,:622618144_4,1
40.0,:622618230_3,1
60.0,-300077497#5,3
60.0,-593847703#3,3
60.0,1068440004#1,1
60.0,263217604#0,2
60.0,288878926#0,1
60.0,353392316#0,1
60.0,360851262#0,1
60.0,506322846#0,1
60.0,506322851#0,1
60.0,506322853#0,1
60.0,593847703#0,1
60.0,593852346,1
60.0,:cluster_2528018119_655375236_1,1
60.0,:cluster_5372642442_631668976_631668981_631669076_16,1
80.0,-35274074#2,1
80.0,-593847703#3,1
80.0,1068440004#1,1
80.0,182334378#0,2
80.0,238526531#0,2
80.0,263217604#0,2
80.0,288135626#0,1
80.0,360851262#0,1
80.0,506322840#0,1
80.0,506322844#0,1
80.0,506322851#0,1
80.0,506322853#0,1
80.0,593847702#0,2
80.0,593847702#3,1
80.0,593847703#0,1
80.0,593847704#0,1
80.0,593849711#0,1
80.0,593849724,1
80.0,593852346,1
80.0,668037874,1
80.0,:655375238_1,1
100.0,-300077497#5,2
100.0,-35274074#2,1
100.0,-593847703#3,2
100.0,182334378#0,3
100.0,263217604#0,2
100.0,353392316#0,1
100.0,360851262#0,1
100.0,49073272#0,2
100.0,506322844#0,3
100.0,506322851#0,1
100.0,506322853#0,1
100.0,593847702#3,3
100.0,593852345#0,1
100.0,593852346,1
100.0,668037874,1
100.0,:cluster_2528018119_655375236_2,1
120.0,-300077497#5,2
120.0,-593847703#3,2
120.0,182334378#0,5
120.0,182334379#0,1
120.0,263217604#0,2
120.0,353392316#0,1
120.0,360851262#0,1
120.0,506322840#0,1
120.0,506322844#0,3
120.0,506322851#0,1
120.0,506322853#0,1
120.0,593847701,1
120.0,593847702#3,5
120.0,593852346,1
120.0,594658762#0,1
120.0,668037874,1
120.0,:622618230_5,1
120.0,:655375239_2,1
120.0,:cluster_623980147_623980152_3,1
140.0,-300077497#5,1
140.0,-593847703#3,4
140.0,1068440004#1,3
140.0,238526531#0,1
140.0,263217604#0,4
140.0,300077497#6,1
140.0,35274074#0,2
140.0,353392316#0,2
140.0,360851262#0,1
140.0,506322844#0,1
140.0,506322851#0,1
140.0,506322853#0,1
140.0,593847702#3,1
140.0,593849711#0,1
140.0,668037874,1
140.0,:3086736518_1,1
140.0,:622618112_2,1
140.0,:622618230_3,1
140.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_14,1
140.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_25,1
160.0,-300077497#5,1
160.0,-35274074#2,1
160.0,-593847703#3,6
160.0,1068234499#0,1
160.0,1068440004#1,3
160.0,182336887#2,1
160.0,238526531#0,1
160.0,263217604#0,5
160.0,303647015#0,1
160.0,353392316#0,1
160.0,360851262#0,2
160.0,49073272#0,1
160.0,49695733#2,1
160.0,49695736#0,1
160.0,506322846#0,1
160.0,506322851#0,1
160.0,506322853#0,1
160.0,593847702#3,2
160.0,593847703#0,2
160.0,593852346,2
160.0,668037874,1
160.0,:1973482489_3,1
160.0,:655375239_3,1
160.0,E0,1
180.0,-300077497#5,2
180.0,-35274074#2,1
180.0,1068234498#0,1
180.0,1068440004#1,3
180.0,263217604#0,6
180.0,300077497#0,1
180.0,360851262#0,2
180.0,506322844#0,2
180.0,506322851#0,1
180.0,506322853#0,1
180.0,593847702#0,1
180.0,593847702#3,3
180.0,593847703#0,1
180.0,593847704#0,1
180.0,593852346,1
180.0,668037874,1
180.0,:3086736518_9,1
180.0,:622618108_5,1
180.0,:cluster_2528018119_655375236_1,1
180.0,:cluster_5372642442_631668976_631668981_631669076_7,1
200.0,-300077497#5,1
200.0,-300077497#8,1
200.0,-35274074#2,1
200.0,-593847703#3,2
200.0,182334378#0,1
200.0,238526531#0,1
200.0,263217604#0,7
200.0,300077497#0,2
200.0,506322844#0,1
200.0,506322846#0,1
200.0,506322851#0,1
200.0,506322853#0,1
200.0,593847702#0,1
200.0,593847702#3,3
200.0,593849721,1
200.0,593852346,2
200.0,594658762#0,2
200.0,668037874,2
200.0,:cluster_5372642442_631668976_631668981_631669076_16,1
220.0,-300077497#5,2
220.0,-35274074#2,1
220.0,-593847703#3,3
220.0,-593849724,1
220.0,-E0,1
220.0,186602412#0,1
220.0,263217604#0,7
220.0,268564473#0,1
220.0,35274074#0,3
220.0,353392316#0,1
220.0,360851262#0,1
220.0,506322844#0,3
220.0,506322851#0,1
220.0,506322853#0,1
220.0,593847702#3,1
220.0,593847703#0,1
220.0,593852346,1
220.0,594658762#0,2
220.0,668037874,2
220.0,:cluster_2038168688_655375573_5,1
240.0,-300077497#5,1
240.0,-35274074#2,1
240.0,-593847703#3,5
240.0,186602412#0,1
240.0,263217604#0,9
240.0,353392316#0,1
240.0,360851262#0,1
240.0,49073274,1
240.0,506322844#0,2
240.0,506322851#0,1
240.0,506322853#0,1
240.0,593847702#3,2
240.0,593852346,1
240.0,668037874,2
240.0,:655375238_7,1
240.0,:655375241_0,1
260.0,-300077497#5,2
260.0,-593847703#3,6
260.0,-593849724,1
260.0,238526531#0,1
260.0,263217604#0,9
260.0,314800955,1
260.0,353392316#0,1
260.0,360851262#0,2
260.0,506322842#0,1
260.0,506322844#0,2
260.0,506322851#0,1
260.0,506322853#0,1
260.0,593847702#3,2
260.0,593847703#0,1
260.0,593849711#0,2
260.0,593852346,1
260.0,668037874,2
260.0,:655375238_2,1
260.0,:655375239_2,1
280.0,-300077497#5,1
280.0,-593847703#3,1
280.0,182334378#0,2
280.0,182336886,1
280.0,263217604#0,10
280.0,300077497#0,1
280.0,353392316#0,1
280.0,49073272#0,1
280.0,49073274,1
280.0,506322844#0,2
280.0,506322846#2,1
280.0,506322851#0,1
280.0,506322853#0,1
280.0,593847702#0,1
280.0,593847704#0,1
280.0,593852346,2
280.0,594658762#0,2
280.0,668037874,3
280.0,:3086736518_19,1
