time,apply_time,tl_id,score
2200.0,0.0,joinedS_3086736518_655375232_655375233,2.644712609779637
2200.0,0.0,joinedS_655375228_655375239_655375240,1.9200120210261695
2200.0,0.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,1.5755564796581154
2200.0,0.0,cluster3086736522_655375108_655375247_655375401_#1more,0.9196451076227188
2380.0,180.0,joinedS_3086736518_655375232_655375233,6.830801803985115
2380.0,180.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,3.87610076971034
2380.0,180.0,joinedS_655375228_655375239_655375240,3.75159740428508
2380.0,180.0,cluster3086736522_655375108_655375247_655375401_#1more,2.77877546658139
2560.0,360.0,joinedS_3086736518_655375232_655375233,8.72591512573034
2560.0,360.0,cluster3086736522_655375108_655375247_655375401_#1more,7.054511638832164
2560.0,360.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,3.846493687408014
2560.0,360.0,joinedS_655375228_655375239_655375240,2.1552798513678093
