time,apply_time,tl_id,road_hint,phase_index,state,old_duration,new_duration,delta_duration
2380.0,180.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,15,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,1.0,2.818915484661975,1.818915484661975
2380.0,180.0,joinedS_655375228_655375239_655375240,-E1 | E1 | 八德路一段 | 金山北路 | 金山南路一段,0,rrrrrGGGGrrrrrr,27.0,35.0,8.0
2380.0,180.0,cluster3086736522_655375108_655375247_655375401_#1more,-51362368 | 51362368 | 市民大道三段 | 市民大道二段 | 新生北路一段62巷 | 金山北路,7,gggGgggrrrrrrrGGGGrrrrrrrrrrrrrG,18.0,22.0,4.0
2380.0,180.0,cluster3086736522_655375108_655375247_655375401_#1more,-51362368 | 51362368 | 市民大道三段 | 市民大道二段 | 新生北路一段62巷 | 金山北路,8,gggGgggrrrrrrrGGGGrrrrrrrrrrrrrr,5.0,9.0,4.0
2560.0,360.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,3,rrrrrrGrrrrrrrrrrrrrrrrrrrrrrGGGGGG,7.0,7.072389026688876,0.07238902668887626
2560.0,360.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,4,rrrrrrGrrrrrrrrrrrrrrrrrrrrrrrrrrrr,5.0,5.072389026688876,0.07238902668887626
2560.0,360.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,13,rrrgGGrrrrrrrrrGGrrGGGGrrrrGGrGGrrG,7.0,10.927610973311124,3.9276109733111237
2560.0,360.0,joinedS_3086736518_655375232_655375233,-E0 | E0 | 八德路二段 | 市民大道三段,14,rrrgGGrrrrrrrrrGGrrGGGGrrrrrrrrrrrr,5.0,8.927610973311124,3.9276109733111237
2560.0,360.0,cluster3086736522_655375108_655375247_655375401_#1more,-51362368 | 51362368 | 市民大道三段 | 市民大道二段 | 新生北路一段62巷 | 金山北路,7,gggGgggrrrrrrrGGGGrrrrrrrrrrrrrG,18.0,22.0,4.0
2560.0,360.0,cluster3086736522_655375108_655375247_655375401_#1more,-51362368 | 51362368 | 市民大道三段 | 市民大道二段 | 新生北路一段62巷 | 金山北路,8,gggGgggrrrrrrrGGGGrrrrrrrrrrrrrr,5.0,9.0,4.0
2560.0,360.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,0,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,5.0,6.103033971148986,1.103033971148986
2560.0,360.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,3,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,37.0,38.56363269551768,1.5636326955176827
2560.0,360.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,6,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,45.0,46.10303397114899,1.1030339711489887
2560.0,360.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,9,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,9.0,10.563632695517681,1.563632695517681
2560.0,360.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,12,rrrgggGGGGggGrrrrrrrrrgggGGGggGrrrrrrrrGrG,51.0,52.10303397114899,1.1030339711489887
2560.0,360.0,cluster655375336_end_0_655375336_end_1_655375336_end_10_655375336_end_11_#8more,-E0 | E0 | 市民大道三段 | 新生北路一段,15,GGGrrrrrrrrrrgggGGGGGGrrrrrrrrrggGggGGGrGr,1.0,2.563632695517681,1.563632695517681
2560.0,360.0,joinedS_655375228_655375239_655375240,-E1 | E1 | 八德路一段 | 金山北路 | 金山南路一段,0,rrrrrGGGGrrrrrr,27.0,35.0,8.0
