icid,設備編號,路口名稱,群組,經度,緯度,三合一報表連結（網址）
I0SSA,S0SSA10,老泉街-防汛道路,GA0318,121.56047,24.977261,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0SSA10
I0YPB,S0YPB10,木新路三段-寶橋路,GN0313,121.553864,24.979865,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0YPB10
I0ZPQ,S0ZPQ10,木新路三段-一壽街,GN0313,121.556383,24.980587,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0ZPQ10
I0ZPV,S0ZPV10,木新路三段310巷,GN0313,121.557179,24.980808,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0ZPV10
I0ZTB,S0ZTB10,保儀路13巷-26巷,GA0101,121.565707,24.982641,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0ZTB10
I0ZTJ,S0ZTJ10,恆光街-恆光橋,GA0318,121.566999,24.982491,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S0ZTJ10
I15QC,S15QC10,木新路三段278巷,GN0313,121.55913,24.981299,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S15QC10
I16QG,S16QG10,木新路三段200號,GN0313,121.559963,24.981504,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S16QG10
I17P9,S17P910,辛亥路七段76巷,GN0313,121.55373,24.981953,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S17P910
I17QN,S17QN10,"木新路三段155,172巷",GN0313,121.561094,24.98177,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S17QN10
I18QX,S18QX10,興隆路四段木新路三段,GC0157,121.562541,24.982099,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S18QX10
I1ARC,S1ARC10,木新路三段50巷,GA0100,121.563563,24.982357,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ARC10
I1ARI,S1ARI10,木新路二段-保儀路,GA0318,121.565298,24.982756,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ARI10
I1CPB,S1CPB10,辛亥路七段-忠順街一段,GN0313,121.554028,24.983214,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1CPB10
I1CPQ,S1CPQ10,忠順街一段-木新路三段310巷,GC0052,121.556306,24.983305,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1CPQ10
I1CRT,S1CRT10,木新路二段-恆光街,GA0318,121.566736,24.983256,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1CRT10
I1CSC,S1CSC10,木新路二段161巷12弄,GA0318,121.569147,24.983124,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1CSC10
I1DNP,S1DNP10,"木柵路一段58,89巷",GN0032,121.547309,24.986949,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1DNP10
I1ESA,S1ESA10,木新路二段161巷,GA0318,121.56875,24.983953,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ESA10
I1EUF,S1EUF10,指南路二段-政大一街,GN0001,121.57947,24.983845,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1EUF10
I1FQB,S1FQB10,忠順街一段26巷,GA0100,121.559143,24.98408,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1FQB10
I1FQR,S1FQR10,辛亥路七段20巷,GN0313,121.553344,24.986172,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1FQR10
I1GQS,S1GQS10,興隆路四段-忠順街二段,GA0100,121.56169,24.984485,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1GQS10
I1GQT,S1GQT10,西安街一段-文林北路94巷,GN0215,121.561857,24.984006,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1GQT10
I1HPC,S1HPC10,辛亥路七段-光輝路50巷,GN0313,121.554194,24.984829,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1HPC10
I1HRS,S1HRS10,保儀路-忠順街二段,GA0099,121.566783,24.984746,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1HRS10
I1IUI,S1IUI10,指南路三段2巷,GC0182,121.580027,24.98502,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1IUI10
I1KRW,S1KRW10,保儀路-永安街22巷,GA0099,121.567391,24.985556,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1KRW10
I1KSL,S1KSL10,木新路二段-永安街,GA0317,121.570601,24.985643,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1KSL10
I1KVJ,S1KVJ10,指南路二段-147巷,GC0116,121.576954,24.987419,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1KVJ10
I1LRR,S1LRR10,木柵路三段66巷-台灣戲曲學校,GN0110,121.566481,24.985957,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1LRR10
I1MPY,S1MPY10,下崙路-光輝路71巷,GS0013,121.557657,24.986198,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1MPY10
I1MS5,S1MS510,萬美街一段-萬和街,GC0147,121.567919,24.986258,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1MS510
I1NMM,S1NMM10,木柵路一段-和興路,GN0032,121.545971,24.986729,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1NMM10
I1NP5,S1NP510,辛亥路七段26巷,GN0313,121.553141,24.98658,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1NP510
I1NQM,S1NQM10,興隆路四段-下崙路,GA0010,121.560908,24.986628,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1NQM10
I1NTY,S1NTY10,木新路一段-指南路一段51巷,GA0317,121.56938,24.988444,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1NTY10
I1PMI,S1PMI10,木柵路一段-萬善橋頭(景美溪橋),GN0032,121.545426,24.986704,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PMI10
I1PMN,S1PMN10,木柵路一段-試院路(西),GN0032,121.549272,24.987294,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PMN10
I1PQY,S1PQY10,興隆路四段109巷32弄,GN0110,121.562651,24.98673,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PQY10
I1PRN,S1PRN10,木柵路三段48巷-興隆路四段109巷,GN0110,121.566082,24.987014,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PRN10
I1PVN,S1PVN10,萬壽路36號(指南山莊),GC0114,121.577612,24.988766,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1PVN10
I1QN6,S1QN610,木柵路四段111巷,GA0319,121.573537,24.997242,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1QN610
I1QQW,S1QQW10,興隆路四段109巷92弄,GN0110,121.562436,24.987236,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1QQW10
I1RNH,S1RNH10,木柵路一段-試院路(東),GN0032,121.550164,24.987454,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1RNH10
I1RNP,S1RNP10,木柵路一段191巷,GN0032,121.551324,24.987657,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1RNP10
I1RUV,S1RUV10,新光路一段32巷,GA0317,121.573742,24.989332,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1RUV10
I1SNV,S1SNV10,木柵路一段辛亥路六段,GN0032,121.552345,24.987798,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1SNV10
I1SQK,S1SQK10,"興隆路四段46,105巷",GA0010,121.560556,24.98764,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1SQK10
I1SS9,S1SS910,指南路一段-保儀路,GA0317,121.568599,24.987628,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1SS910
I1SSL,S1SSL10,木新路一段-指南路一段,GA0317,121.57066,24.987756,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1SSL10
I1STM,S1STM10,指南路二段-政治大學,GC0215,121.575672,24.987655,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1STM10
I1STN,S1STN10,指南路二段-萬壽路(單閃),GC0116,121.57585,24.987609,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1STN10
I1TP9,S1TP910,木柵路二段-富山路,GA0010,121.553792,24.988036,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1TP910
I1TPH,S1TPH10,木柵路二段-光輝路,GC0003,121.55512,24.988175,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1TPH10
I1TT9,S1TT910,指南路二段-新光路一段,GA0317,121.573683,24.988087,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1TT910
I1ULD,S1ULD10,羅斯福六段-滬江中學,GA0044,121.539628,24.988404,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ULD10
I1ULF,S1ULF10,羅斯福六段-北新橋下,GA0044,121.539868,24.988434,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ULF10
I1ULK,S1ULK10,木柵路一段-景文街(舊橋),GA0099,121.540857,24.988381,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ULK10
I1ULT,S1ULT10,木柵路一段-景興路,GA0099,121.542184,24.988286,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ULT10
I1UMA,S1UMA10,木柵路一段世新專校,GA0099,121.544017,24.988469,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1UMA10
I1UNV,S1UNV10,辛亥路六段86巷,GA0010,121.552298,24.988382,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1UNV10
I1UPQ,S1UPQ10,木柵路二段中山國小,GC0003,121.556369,24.988469,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1UPQ10
I1UQU,S1UQU10,木柵路二段138巷-興隆路四段105巷,GN0110,121.561988,24.988312,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1UQU10
I1URI,S1URI10,木柵路三段48巷,GA0101,121.565264,24.988372,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1URI10
I1VQ7,S1VQ710,木柵路二段2巷,GA0010,121.558431,24.988732,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1VQ710
I1VQB,S1VQB10,木柵路二段54巷,GA0010,121.559045,24.98872,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1VQB10
I1VQH,S1VQH10,木柵路二段-興隆路四段,GS0045,121.560154,24.988725,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1VQH10
I1VQS,S1VQS10,木柵路二段109巷,GA0010,121.561769,24.988828,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1VQS10
I1VRX,S1VRX10,木柵路三段102巷,GA0101,121.567453,24.98869,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1VRX10
I1VTV,S1VTV10,秀明路二段-萬壽路,GC0114,121.577013,24.988643,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1VTV10
I1WR6,S1WR610,木柵路二段-秀明路一段,GA0010,121.563157,24.989039,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1WR610
I1WS9,S1WS910,木柵路三段-保儀路,GA0101,121.568615,24.98891,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1WS910
I1YLL,S1YLL10,景文街-景美國小,GC0141,121.540922,24.989708,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1YLL10
I1YQF,S1YQF10,興隆路四段57巷,GA0312,121.559801,24.989467,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1YQF10
I1ZRP,S1ZRP10,秀明路一段-久康街,GA0101,121.566103,24.989813,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ZRP10
I1ZV6,S1ZV610,秀明路二段7巷,GA0320,121.574877,24.991853,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S1ZV610
I25LE,S25LE10,羅斯福六段-育英街,GA0044,121.539745,24.990209,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S25LE10
I26QC,S26QC10,興隆路四段-再興中學,GC0050,121.559232,24.990552,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S26QC10
I26RR,S26RR10,秀明路一段103巷,GA0101,121.566453,24.990597,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S26RR10
I26SL,S26SL10,木柵路三段-木柵國小,GC0140,121.570643,24.990473,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S26SL10
I27RS,S27RS10,秀明路一段-久康街135巷,GA0101,121.566652,24.990741,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S27RS10
I27RU,S27RU10,秀明路一段191巷,GA0323,121.56695,24.990896,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S27RU10
I27SN,S27SN10,木柵路三段-木新路一段,GA0319,121.570931,24.990707,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S27SN10
I27TA,S27TA10,新光路一段159巷,GA0320,121.573695,24.99084,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S27TA10
I28LG,S28LG10,羅斯福六段-車前路,GA0044,121.540156,24.991237,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S28LG10
I29S7,S29S710,秀明路一段185巷,GA0101,121.568334,24.991407,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S29S710
I2ASP,S2ASP10,木柵路四段-秀明路二段(萬壽橋),GA0319,121.571124,24.991654,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ASP10
I2AT9,S2AT910,秀明路二段-新光路一段,GA0320,121.573669,24.991617,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2AT910
I2ATF,S2ATF10,秀明路二段112巷,GC0114,121.574767,24.991261,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ATF10
I2BLI,S2BLI10,羅斯福六段-萬慶街,GA0044,121.540536,24.99212,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2BLI10
I2BQ9,S2BQ910,興隆路四段-1巷,GA0312,121.55878,24.991529,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2BQ910
I2CUG,S2CUG10,木柵路四段-33巷,GA0319,121.571587,24.994007,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2CUG10
I2DMB,S2DMB10,景文街-車前路,GA0099,121.541285,24.991251,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2DMB10
I2DQ9,S2DQ910,"興隆路三段255,304巷",GA0312,121.558775,24.99264,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2DQ910
I2ELC,S2ELC10,景中街-景後街,GN0311,121.543332,24.992742,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ELC10
I2ELL,S2ELL10,羅斯福六段-景中街,GA0044,121.540827,24.992887,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ELL10
I2ELN,S2ELN10,景文街-景中街,GA0044,121.541312,24.992903,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ELN10
I2FNM,S2FNM10,景興路46巷-三福街4巷,GC0019,121.542862,24.995025,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2FNM10
I2GQB,S2GQB10,興隆路三段229巷,GA0312,121.559136,24.993523,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2GQB10
I2HM8,S2HM810,華齡街-後港街134巷,GC0175,121.519479,25.086782,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2HM810
I2HME,S2HME10,"景興路-222,241巷",GN0311,121.544605,24.993749,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2HME10
I2ILN,S2ILN10,羅斯福六段-溪口街,GA0044,121.541169,24.994176,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ILN10
I2ILP,S2ILP10,羅斯福六段-景華街,GA0044,121.541192,24.994917,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ILP10
I2IME,S2IME10,景興路153巷,GN0311,121.544656,24.994028,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2IME10
I2IQD,S2IQD10,興隆路三段海岸巡防署,GA0312,121.559436,24.9941,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2IQD10
I2JKW,S2JKW10,景福街溪口國小,GC0077,121.537625,24.994641,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2JKW10
I2JME,S2JME10,"景興路42,53巷(景興國中)",GC0077,121.544696,24.996348,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2JME10
I2JMX,S2JMX10,景華街128巷,GC0117,121.547763,24.994398,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2JMX10
I2KLN,S2KLN10,羅斯福六段-三福街,GA0044,121.541157,24.995937,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2KLN10
I2KLQ,S2KLQ10,景華街-景美街,GN0311,121.542282,24.994958,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2KLQ10
I2LME,S2LME10,景華街-景興路,GN0311,121.54469,24.995111,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2LME10
I2LQE,S2LQE10,指南路三段38巷指南國小,GC0116,121.559647,24.994893,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2LQE10
I2LSS,S2LSS10,木柵路四段-萬芳路,GA0319,121.571743,24.994856,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2LSS10
I2NKJ,S2NKJ10,溪洲街二號疏散門北側,GA0043,121.53572,24.995697,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2NKJ10
I2NKK,S2NKK10,溪洲街二號疏散門南側,GA0043,121.5359,24.995682,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2NKK10
I2PKK,S2PKK10,景福街-水快下匝道,GN0311,121.535838,24.996001,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2PKK10
I2PME,S2PME10,景興路46巷,GN0311,121.544694,24.996095,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2PME10
I2RSZ,S2RSZ10,木柵路四段木柵高工,GS0018,121.572751,24.996559,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2RSZ10
I2RXA,S2RXA10,新光路二段高速公路下,GA0321,121.593655,24.996266,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2RXA10
I2SME,S2SME10,景中街-景興路,GN0311,121.544707,24.996764,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2SME10
I2SQG,S2SQG10,興隆路三段-萬芳路,GA0312,121.559913,24.996752,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2SQG10
I2TLL,S2TLL10,羅斯福六段-景仁街,GA0044,121.540895,24.997166,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2TLL10
I2TMY,S2TMY10,景華街150巷,GC0117,121.54787,24.997239,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2TMY10
I2TTW,S2TTW10,新光路二段纜車站,GA0321,121.57732,24.997002,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2TTW10
I2UQV,S2UQV10,萬芳路-萬芳路105巷,GA0312,121.562016,24.997241,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2UQV10
I2VMY,S2VMY10,景華街176巷,GC0117,121.547882,24.997745,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2VMY10
I2VR6,S2VR610,興隆路三段36巷-16弄,GC0022,121.555031,24.999507,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2VR610
I2WKS,S2WKS10,羅斯福五段-景隆街(景福街),GA0043,121.539925,24.999625,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2WKS10
I2WNZ,S2WNZ10,辛亥路三段第二殯儀館,GA0273,121.552958,25.014103,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2WNZ10
I2WQ9,S2WQ910,興隆路三段警察專校,GA0312,121.55883,24.998065,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2WQ910
I2WUA,S2WUA10,新光路二段服務中心,GA0321,121.578691,24.997827,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2WUA10
I2XMD,S2XMD10,興隆路一段-景興路,GN0098,121.544556,24.998507,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2XMD10
I2XMK,S2XMK10,興隆路二段靜心小學,GC0036,121.545995,24.998889,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2XMK10
I2XMX,S2XMX10,仙岩路-景華街,GC0123,121.547726,24.998287,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2XMX10
I2XTE,S2XTE10,木柵路四段和平東四段,GC0071,121.574571,24.99815,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2XTE10
I2XXB,S2XXB10,木柵路五段指南停車場,GA0324,121.59372,24.99802,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2XXB10
I2YKH,S2YKH10,羅斯福六段142巷-20弄,GA0325,121.537095,24.99801,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2YKH10
I2YTH,S2YTH10,木柵路四段9巷(新光河山),GS0017,121.574978,24.998573,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2YTH10
I2YTU,S2YTU10,萬和街-萬安街16巷,GC0147,121.568741,25.000424,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2YTU10
I2ZKH,S2ZKH10,景福街-水快上匝道,GN0311,121.536897,24.998101,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ZKH10
I2ZKZ,S2ZKZ10,景福街54巷,GC0077,121.538118,24.999048,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ZKZ10
I2ZP9,S2ZP910,辛亥路五段73巷,GA0113,121.553673,24.999096,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ZP910
I2ZRU,S2ZRU10,萬芳路-萬利街,GS0316,121.566987,24.999046,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ZRU10
I2ZSB,S2ZSB10,萬芳路-萬和街,GS0316,121.569046,24.998758,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ZSB10
I2ZUI,S2ZUI10,新光路二段-動物園,GA0321,121.580062,24.998643,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ZUI10
I2ZXB,S2ZXB10,木柵路五段二高橋下,GA0324,121.593723,24.998779,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S2ZXB10
I35J6,S35J610,"士東路89,91巷",GC0113,121.528976,25.112099,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S35J610
I36F6,S36F610,承德路七段-石牌路一段,GA0026,121.509235,25.112448,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S36F610
I36H8,S36H810,懷德街-東陽街,GC0001,121.519457,25.112296,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S36H810
I36Q5,S36Q510,至善路三段中社路一段,GA0225,121.558682,25.111972,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S36Q510
I37JI,S37JI10,忠誠路二段-士東路,GC0115,121.531069,25.112408,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S37JI10
I38GP,S38GP10,東華街一段-裕民六路,GN0215,121.516823,25.113072,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S38GP10
I38JS,S38JS10,士東路200巷(士林法院),GN0221,121.532468,25.112565,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S38JS10
I3AIL,S3AIL10,中山北六段405巷,GS0048,121.526529,25.112758,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3AIL10
I3BHP,S3BHP10,明德路-明德國小,GC0001,121.522029,25.11318,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3BHP10
I3CRI,S3CRI10,至善路三段71巷,GA0225,121.565678,25.11311,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3CRI10
I3EKR,S3EKR10,士東路286巷,GN0221,121.53735,25.11346,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3EKR10
I3FGP,S3FGP10,東華街一段-東陽街,GN0215,121.517484,25.112284,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3FGP10
I3HFP,S3HFP10,石牌路一段-致遠二路,GC0082,121.512196,25.114009,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3HFP10
I3HL7,S3HL710,士東路-東山路,GN0221,121.539207,25.113931,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3HL710
I3JGH,S3JGH10,東華街一段-裕民二路,GN0215,121.516064,25.114167,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3JGH10
I3JHA,S3JHA10,懷德街-榮華三路,GN0215,121.519822,25.11419,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3JHA10
I3KGS,S3KGS10,裕民六路114巷,GC0173,121.517473,25.114442,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3KGS10
I3KIR,S3KIR10,中山北六段450巷,GA0033,121.527379,25.114389,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3KIR10
I3LHL,S3LHL10,明德路289巷,GN0215,121.521655,25.114554,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3LHL10
I3MER,S3MER10,承德路七段-實踐街,GA0026,121.507131,25.11437,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3MER10
I3NG7,S3NG710,石牌路一段139號(石牌國中),GC0076,121.514362,25.114886,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3NG710
I3QJV,S3QJV10,忠誠路二段154巷,GN0221,121.532934,25.114902,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/S3QJV10
