icid,設備編號,路口名稱,群組,經度,緯度,三合一報表連結（網址）
IRYGT,SRYGT10,敦煌路80巷重慶國中,GC0099,121.517688,25.075811,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SRYGT10
IS5EZ,SS5EZ10,環河北二段-敦煌路,GA0230,121.508832,25.07502,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS5EZ10
IS5PL,SS5PL10,樂群一路-敬業三路,GN0506,121.556169,25.075915,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS5PL10
IS5V7,SS5V710,文德路208巷210巷,GA0106,121.583567,25.075819,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS5V710
IS6SQ,SS6SQ10,基湖路120巷,GA0283,121.563484,25.077905,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS6SQ10
IS6TI,SS6TI10,瑞光路-江南街,GS0037,121.57542,25.076058,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS6TI10
IS7FP,SS7FP10,延平北四段-敦煌路,GA0232,121.51204,25.07648,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS7FP10
IS7GG,SS7GG10,敦煌路21巷(慶昌橋),GC0099,121.515754,25.076311,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS7GG10
IS7SN,SS7SN10,堤頂二段-樂群一路,GA0283,121.568616,25.077358,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS7SN10
IS8IQ,SS8IQ10,北安路55號,GC0121,121.529016,25.077748,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS8IQ10
IS8TL,SS8TL10,瑞光路258巷,GS0037,121.575948,25.076362,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS8TL10
IS9TE,SS9TE10,港墘路-瑞光路,GS0037,121.574926,25.076349,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SS9TE10
ISBID,SSBID10,中山北四段-北安路,GS0035,121.526877,25.075986,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSBID10
ISBPJ,SSBPJ10,明水路397巷18弄-明水路397巷19弄,GA0102,121.54767,25.078646,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSBPJ10
ISBT9,SSBT910,瑞光路-358巷,GS0037,121.572759,25.077324,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSBT910
ISBUG,SSBUG10,文德路22巷44弄,GC0151,121.580082,25.076735,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSBUG10
ISDUR,SSDUR10,文德路66巷14弄,GA0106,121.581729,25.077081,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSDUR10
ISDVZ,SSDVZ10,陽光街-文德路220巷,GA0108,121.588123,25.076993,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSDVZ10
ISEFJ,SSEFJ10,延平北四段282巷,GA0232,121.51128,25.07734,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSEFJ10
ISEMA,SSEMA10,明水路-大直橋下,GC0040,121.544389,25.077322,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSEMA10
ISEMV,SSEMV10,明水路397巷,GA0102,121.54769,25.077409,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSEMV10
ISEMW,SSEMW10,明水路475巷,GC0029,121.549573,25.077276,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSEMW10
