Detector;Time;qPKW;vPKW
ZJQJI20;1780.00;126;32.43
ZJTJ820;1780.00;150;44.71
ZJHKR40;1785.00;80;33.01
ZJ7KV40_ZINKW40;1785.00;91;40.77
ZJSJD40;1785.00;162;20.29
ZK5JW60;1785.00;66;36.3
ZK7K820;1785.00;28;36.25
Z7230E0_ZK7KP40;1785.00;85;31.06
ZJHKR20_ZJWJ740;1785.00;113;38.46
ZKJJP20;1785.00;121;42.0
ZK9KC60;1785.00;117;48.82
ZJTJ960;1785.00;22;45.86
ZJQJI20;1785.00;147;33.12
ZJTJ820;1785.00;166;42.54
ZJHKR40;1790.00;78;27.04
ZJ7KV40_ZINKW40;1790.00;105;35.53
ZJSJD40;1790.00;138;28.09
ZK5JW60;1790.00;55;31.82
ZK7K820;1790.00;27;39.93
Z7230E0_ZK7KP40;1790.00;70;25.77
ZJHKR20_ZJWJ740;1790.00;146;37.04
ZKJJP20;1790.00;183;39.7
ZK9KC60;1790.00;134;40.01
ZJTJ960;1790.00;19;36.21
ZJQJI20;1790.00;137;35.68
ZJTJ820;1790.00;164;43.84
ZJHKR40;1795.00;102;29.39
ZJ7KV40_ZINKW40;1795.00;115;35.9
ZJSJD40;1795.00;151;22.67
ZK5JW60;1795.00;59;38.19
ZK7K820;1795.00;25;34.04
Z7230E0_ZK7KP40;1795.00;78;33.11
ZJHKR20_ZJWJ740;1795.00;112;37.42
ZKJJP20;1795.00;129;33.39
ZK9KC60;1795.00;106;48.78
ZJTJ960;1795.00;15;61.0
ZJQJI20;1795.00;145;33.49
ZJTJ820;1795.00;174;42.92
ZJHKR40;1800.00;62;30.61
ZJ7KV40_ZINKW40;1800.00;75;31.31
ZJSJD40;1800.00;109;26.36
ZK5JW60;1800.00;59;33.42
ZK7K820;1800.00;15;37.07
Z7230E0_ZK7KP40;1800.00;64;27.95
ZJHKR20_ZJWJ740;1800.00;146;38.14
ZKJJP20;1800.00;196;32.97
ZK9KC60;1800.00;172;31.32
ZJTJ960;1800.00;27;60.26
ZJQJI20;1800.00;133;36.2
ZJTJ820;1800.00;159;42.11
ZJHKR40;1805.00;112;34.88
ZJ7KV40_ZINKW40;1805.00;94;36.29
ZJSJD40;1805.00;138;23.33
ZK5JW60;1805.00;72;32.31
ZK7K820;1805.00;31;30.29
Z7230E0_ZK7KP40;1805.00;75;30.71
ZJHKR20_ZJWJ740;1805.00;117;34.83
ZKJJP20;1805.00;134;34.13
ZK9KC60;1805.00;91;27.34
ZJTJ960;1805.00;25;40.24
ZJQJI20;1805.00;105;33.01
ZJTJ820;1805.00;146;42.97
ZJHKR40;1810.00;69;31.1
ZJ7KV40_ZINKW40;1810.00;99;34.83
ZJSJD40;1810.00;97;24.05
ZK5JW60;1810.00;61;32.87
ZK7K820;1810.00;31;32.77
Z7230E0_ZK7KP40;1810.00;67;25.93
ZJHKR20_ZJWJ740;1810.00;154;37.65
ZKJJP20;1810.00;195;41.35
ZK9KC60;1810.00;136;37.96
ZJTJ960;1810.00;31;40.55
ZJQJI20;1810.00;121;35.41
ZJTJ820;1810.00;163;36.8
ZJHKR40;1815.00;127;26.7
ZJ7KV40_ZINKW40;1815.00;109;32.71
ZJSJD40;1815.00;168;21.83
ZK5JW60;1815.00;76;36.0
ZK7K820;1815.00;26;35.77
Z7230E0_ZK7KP40;1815.00;82;26.37
ZJHKR20_ZJWJ740;1815.00;123;35.41
ZKJJP20;1815.00;127;39.97
ZK9KC60;1815.00;192;23.41
ZJTJ960;1815.00;28;41.96
ZJQJI20;1815.00;103;36.93
ZJTJ820;1815.00;147;50.78
ZJHKR40;1820.00;72;30.31
ZJ7KV40_ZINKW40;1820.00;104;32.57
ZJSJD40;1820.00;125;21.87
ZK5JW60;1820.00;55;27.6
ZK7K820;1820.00;27;38.15
Z7230E0_ZK7KP40;1820.00;74;29.65
ZJHKR20_ZJWJ740;1820.00;137;37.81
ZKJJP20;1820.00;162;43.24
ZK9KC60;1820.00;144;27.72
ZJTJ960;1820.00;30;41.6
ZJQJI20;1820.00;141;32.33
ZJTJ820;1820.00;189;37.31
ZJHKR40;1825.00;107;34.17
ZJ7KV40_ZINKW40;1825.00;132;35.78
ZJSJD40;1825.00;148;19.24
ZK5JW60;1825.00;67;33.52
ZK7K820;1825.00;53;37.08
Z7230E0_ZK7KP40;1825.00;73;23.88
ZJHKR20_ZJWJ740;1825.00;150;39.22
ZKJJP20;1825.00;142;33.69
ZK9KC60;1825.00;185;23.26
ZJTJ960;1825.00;43;44.88
ZJQJI20;1825.00;131;31.76
ZJTJ820;1825.00;194;35.95
ZJHKR40;1830.00;75;37.32
ZJ7KV40_ZINKW40;1830.00;101;36.49
ZJSJD40;1830.00;149;21.66
ZK5JW60;1830.00;70;31.76
ZK7K820;1830.00;29;35.72
Z7230E0_ZK7KP40;1830.00;45;25.08
ZJHKR20_ZJWJ740;1830.00;171;34.52
ZKJJP20;1830.00;200;36.01
ZK9KC60;1830.00;129;29.62
ZJTJ960;1830.00;55;38.8
ZJQJI20;1830.00;119;34.96
ZJTJ820;1830.00;126;45.25
ZJHKR40;1835.00;104;29.7
ZJ7KV40_ZINKW40;1835.00;112;39.22
ZJSJD40;1835.00;164;20.21
ZK5JW60;1835.00;79;34.71
ZK7K820;1835.00;35;39.26
Z7230E0_ZK7KP40;1835.00;52;25.27
ZJHKR20_ZJWJ740;1835.00;138;36.54
ZKJJP20;1835.00;127;42.31
ZK9KC60;1835.00;90;23.08
ZJTJ960;1835.00;31;42.94
ZJQJI20;1835.00;131;28.92
ZJTJ820;1835.00;148;38.03
ZJHKR40;1840.00;77;35.57
ZJ7KV40_ZINKW40;1840.00;114;37.05
ZJSJD40;1840.00;119;21.47
ZK5JW60;1840.00;57;32.68
ZK7K820;1840.00;24;38.21
Z7230E0_ZK7KP40;1840.00;42;22.91
ZJHKR20_ZJWJ740;1840.00;160;39.24
ZKJJP20;1840.00;209;37.38
ZK9KC60;1840.00;112;24.61
ZJTJ960;1840.00;54;38.72
ZJQJI20;1840.00;155;30.24
ZJTJ820;1840.00;162;41.41
ZJHKR40;1845.00;131;37.69
ZJ7KV40_ZINKW40;1845.00;121;36.63
ZJSJD40;1845.00;191;19.98
ZK5JW60;1845.00;55;32.02
ZK7K820;1845.00;37;31.84
Z7230E0_ZK7KP40;1845.00;49;23.91
ZJHKR20_ZJWJ740;1845.00;136;36.28
ZKJJP20;1845.00;119;39.05
ZK9KC60;1845.00;85;21.55
ZJTJ960;1845.00;40;37.5
ZJQJI20;1845.00;122;29.25
ZJTJ820;1845.00;190;37.39
ZJHKR40;1850.00;60;25.55
ZJ7KV40_ZINKW40;1850.00;102;36.32
ZJSJD40;1850.00;143;22.35
ZK5JW60;1850.00;58;31.12
ZK7K820;1850.00;33;34.7
Z7230E0_ZK7KP40;1850.00;36;20.47
ZJHKR20_ZJWJ740;1850.00;150;34.12
ZKJJP20;1850.00;186;41.4
ZK9KC60;1850.00;94;26.35
ZJTJ960;1850.00;51;38.57
ZJQJI20;1850.00;144;29.48
ZJTJ820;1850.00;170;37.04
ZJHKR40;1855.00;133;34.17
ZJ7KV40_ZINKW40;1855.00;117;37.78
ZJSJD40;1855.00;190;18.14
ZK5JW60;1855.00;69;26.52
ZK7K820;1855.00;29;37.0
Z7230E0_ZK7KP40;1855.00;39;20.08
ZJHKR20_ZJWJ740;1855.00;116;35.49
ZKJJP20;1855.00;131;45.82
ZK9KC60;1855.00;106;22.28
ZJTJ960;1855.00;38;37.84
ZJQJI20;1855.00;96;29.01
ZJTJ820;1855.00;177;39.65
ZJHKR40;1860.00;95;37.2
ZJ7KV40_ZINKW40;1860.00;127;39.68
ZJSJD40;1860.00;133;20.4
ZK5JW60;1860.00;58;35.91
ZK7K820;1860.00;29;29.38
Z7230E0_ZK7KP40;1860.00;45;21.73
ZJHKR20_ZJWJ740;1860.00;175;34.91
ZKJJP20;1860.00;181;41.37
ZK9KC60;1860.00;110;21.94
ZJTJ960;1860.00;59;35.73
ZJQJI20;1860.00;145;33.14
ZJTJ820;1860.00;165;40.29
ZJHKR40;1865.00;187;32.07
ZJ7KV40_ZINKW40;1865.00;112;38.15
ZJSJD40;1865.00;182;23.47
ZK5JW60;1865.00;64;31.03
ZK7K820;1865.00;41;34.2
Z7230E0_ZK7KP40;1865.00;53;18.57
ZJHKR20_ZJWJ740;1865.00;148;40.14
ZKJJP20;1865.00;140;35.66
ZK9KC60;1865.00;84;26.04
ZJTJ960;1865.00;51;37.69
ZJQJI20;1865.00;101;30.0
ZJTJ820;1865.00;161;40.58
ZJHKR40;1870.00;77;33.87
ZJ7KV40_ZINKW40;1870.00;110;34.1
ZJSJD40;1870.00;186;20.52
ZK5JW60;1870.00;51;28.04
ZK7K820;1870.00;36;31.31
Z7230E0_ZK7KP40;1870.00;38;16.83
ZJHKR20_ZJWJ740;1870.00;154;38.04
ZKJJP20;1870.00;193;38.38
ZK9KC60;1870.00;83;23.77
ZJTJ960;1870.00;54;42.37
ZJQJI20;1870.00;87;29.56
ZJTJ820;1870.00;172;36.35
ZJHKR40;1875.00;84;37.88
ZJ7KV40_ZINKW40;1875.00;102;40.93
ZJSJD40;1875.00;222;23.05
ZK5JW60;1875.00;86;33.4
ZK7K820;1875.00;47;24.55
Z7230E0_ZK7KP40;1875.00;39;24.11
ZJHKR20_ZJWJ740;1875.00;124;37.33
ZKJJP20;1875.00;131;39.76
ZK9KC60;1875.00;77;27.96
ZJTJ960;1875.00;62;35.89
ZJQJI20;1875.00;89;28.1
ZJTJ820;1875.00;158;35.66
ZJHKR40;1880.00;74;34.88
ZJ7KV40_ZINKW40;1880.00;84;34.86
ZJSJD40;1880.00;125;18.42
ZK5JW60;1880.00;50;38.36
ZK7K820;1880.00;31;34.68
Z7230E0_ZK7KP40;1880.00;39;21.12
ZJHKR20_ZJWJ740;1880.00;131;38.11
ZKJJP20;1880.00;159;37.51
ZK9KC60;1880.00;108;24.87
ZJTJ960;1880.00;50;36.52
ZJQJI20;1880.00;120;30.11
ZJTJ820;1880.00;132;39.48
ZJHKR40;1885.00;113;38.04
ZJ7KV40_ZINKW40;1885.00;116;35.69
ZJSJD40;1885.00;199;19.19
ZK5JW60;1885.00;36;35.42
ZK7K820;1885.00;35;35.0
Z7230E0_ZK7KP40;1885.00;60;23.05
ZJHKR20_ZJWJ740;1885.00;115;38.01
ZKJJP20;1885.00;100;42.21
ZK9KC60;1885.00;83;21.02
ZJTJ960;1885.00;38;40.68
ZJQJI20;1885.00;102;30.17
ZJTJ820;1885.00;146;41.98
ZJHKR40;1890.00;64;29.38
ZJ7KV40_ZINKW40;1890.00;81;35.89
ZJSJD40;1890.00;136;24.9
ZK5JW60;1890.00;51;30.61
ZK7K820;1890.00;33;37.33
Z7230E0_ZK7KP40;1890.00;54;19.51
ZJHKR20_ZJWJ740;1890.00;153;35.79
ZKJJP20;1890.00;171;39.18
ZK9KC60;1890.00;91;28.29
ZJTJ960;1890.00;58;40.4
ZJQJI20;1890.00;101;33.47
ZJTJ820;1890.00;117;41.52
ZJHKR40;1895.00;127;30.68
ZJ7KV40_ZINKW40;1895.00;102;34.53
ZJSJD40;1895.00;201;19.14
ZK5JW60;1895.00;38;33.58
ZK7K820;1895.00;36;32.69
Z7230E0_ZK7KP40;1895.00;55;22.42
ZJHKR20_ZJWJ740;1895.00;120;38.46
ZKJJP20;1895.00;120;43.7
ZK9KC60;1895.00;97;22.2
ZJTJ960;1895.00;44;41.84
ZJQJI20;1895.00;106;28.93
ZJTJ820;1895.00;136;45.04
ZJHKR40;1900.00;106;26.28
ZJ7KV40_ZINKW40;1900.00;70;35.53
ZJSJD40;1900.00;112;23.14
ZK5JW60;1900.00;42;38.05
ZK7K820;1900.00;20;32.35
Z7230E0_ZK7KP40;1900.00;52;18.97
ZJHKR20_ZJWJ740;1900.00;132;35.65
ZKJJP20;1900.00;149;41.79
ZK9KC60;1900.00;140;15.79
ZJTJ960;1900.00;42;42.64
ZJQJI20;1900.00;101;38.68
ZJTJ820;1900.00;129;38.77
ZJHKR40;1905.00;83;28.51
ZJ7KV40_ZINKW40;1905.00;84;35.97
ZJSJD40;1905.00;139;21.41
ZK5JW60;1905.00;50;33.24
ZK7K820;1905.00;38;38.29
Z7230E0_ZK7KP40;1905.00;66;23.88
ZJHKR20_ZJWJ740;1905.00;112;35.06
ZKJJP20;1905.00;121;41.89
ZK9KC60;1905.00;100;25.39
ZJTJ960;1905.00;45;33.38
ZJQJI20;1905.00;111;33.32
ZJTJ820;1905.00;135;41.65
ZJHKR40;1910.00;115;33.29
ZJ7KV40_ZINKW40;1910.00;98;36.18
ZJSJD40;1910.00;131;23.79
ZK5JW60;1910.00;47;37.64
ZK7K820;1910.00;30;43.27
Z7230E0_ZK7KP40;1910.00;73;29.86
ZJHKR20_ZJWJ740;1910.00;108;33.08
ZKJJP20;1910.00;102;44.17
ZK9KC60;1910.00;104;21.28
ZJTJ960;1910.00;38;38.39
ZJQJI20;1910.00;137;37.75
ZJTJ820;1910.00;131;43.01
ZJHKR40;1915.00;97;28.37
ZJ7KV40_ZINKW40;1915.00;66;34.63
ZJSJD40;1915.00;132;17.39
ZK5JW60;1915.00;27;32.85
ZK7K820;1915.00;20;35.75
Z7230E0_ZK7KP40;1915.00;60;37.81
ZJHKR20_ZJWJ740;1915.00;114;35.7
ZKJJP20;1915.00;130;43.78
ZK9KC60;1915.00;107;30.44
ZJTJ960;1915.00;35;38.54
ZJQJI20;1915.00;101;39.77
ZJTJ820;1915.00;102;47.25
ZJHKR40;1920.00;56;37.05
ZJ7KV40_ZINKW40;1920.00;71;38.3
ZJSJD40;1920.00;164;16.16
ZK5JW60;1920.00;43;37.3
ZK7K820;1920.00;30;27.4
Z7230E0_ZK7KP40;1920.00;60;36.05
ZJHKR20_ZJWJ740;1920.00;109;39.2
ZKJJP20;1920.00;90;42.62
ZK9KC60;1920.00;128;41.49
ZJTJ960;1920.00;59;36.41
ZJQJI20;1920.00;101;36.91
ZJTJ820;1920.00;108;40.99
ZJHKR40;1925.00;54;35.94
ZJ7KV40_ZINKW40;1925.00;62;34.56
ZJSJD40;1925.00;144;18.33
ZK5JW60;1925.00;43;32.12
ZK7K820;1925.00;22;39.23
Z7230E0_ZK7KP40;1925.00;70;34.43
ZJHKR20_ZJWJ740;1925.00;105;38.51
ZKJJP20;1925.00;102;41.6
ZK9KC60;1925.00;158;45.96
ZJTJ960;1925.00;39;39.21
ZJQJI20;1925.00;138;34.03
ZJTJ820;1925.00;100;44.76
ZJHKR40;1930.00;79;35.44
ZJ7KV40_ZINKW40;1930.00;70;38.61
ZJSJD40;1930.00;98;19.86
ZK5JW60;1930.00;24;32.42
ZK7K820;1930.00;21;36.95
Z7230E0_ZK7KP40;1930.00;63;38.11
ZJHKR20_ZJWJ740;1930.00;99;38.91
ZKJJP20;1930.00;76;42.12
ZK9KC60;1930.00;128;36.8
ZJTJ960;1930.00;25;38.16
ZJQJI20;1930.00;103;43.09
ZJTJ820;1930.00;103;42.72
ZJHKR40;1935.00;76;33.61
ZJ7KV40_ZINKW40;1935.00;62;39.71
ZJSJD40;1935.00;115;20.53
ZK5JW60;1935.00;36;32.94
ZK7K820;1935.00;28;31.54
Z7230E0_ZK7KP40;1935.00;57;36.95
ZJHKR20_ZJWJ740;1935.00;113;38.0
ZKJJP20;1935.00;124;44.1
ZK9KC60;1935.00;146;51.21
ZJTJ960;1935.00;40;39.95
ZJQJI20;1935.00;106;37.55
ZJTJ820;1935.00;93;46.43
ZJHKR40;1940.00;34;34.76
ZJ7KV40_ZINKW40;1940.00;53;34.98
ZJSJD40;1940.00;108;25.58
ZK5JW60;1940.00;43;36.28
ZK7K820;1940.00;29;36.34
Z7230E0_ZK7KP40;1940.00;54;40.73
ZJHKR20_ZJWJ740;1940.00;100;37.56
ZKJJP20;1940.00;87;45.59
ZK9KC60;1940.00;122;40.64
ZJTJ960;1940.00;42;38.98
ZJQJI20;1940.00;110;37.04
ZJTJ820;1940.00;101;43.9
ZJHKR40;1945.00;81;35.16
ZJ7KV40_ZINKW40;1945.00;79;38.19
ZJSJD40;1945.00;97;19.49
ZK5JW60;1945.00;27;36.52
ZK7K820;1945.00;26;37.58
Z7230E0_ZK7KP40;1945.00;57;36.21
ZJHKR20_ZJWJ740;1945.00;94;40.4
ZKJJP20;1945.00;80;44.3
ZK9KC60;1945.00;117;52.05
ZJTJ960;1945.00;21;32.0
ZJQJI20;1945.00;87;44.18
ZJTJ820;1945.00;97;44.29
ZJHKR40;1950.00;58;32.91
ZJ7KV40_ZINKW40;1950.00;76;36.45
ZJSJD40;1950.00;92;18.13
ZK5JW60;1950.00;22;35.64
ZK7K820;1950.00;18;41.94
Z7230E0_ZK7KP40;1950.00;54;34.41
ZJHKR20_ZJWJ740;1950.00;104;38.76
ZKJJP20;1950.00;97;46.38
ZK9KC60;1950.00;155;42.41
ZJTJ960;1950.00;41;34.98
ZJQJI20;1950.00;118;38.97
ZJTJ820;1950.00;66;49.92
ZJHKR40;1955.00;28;34.04
ZJ7KV40_ZINKW40;1955.00;57;36.21
ZJSJD40;1955.00;94;20.14
ZK5JW60;1955.00;27;34.11
ZK7K820;1955.00;12;37.33
Z7230E0_ZK7KP40;1955.00;53;37.9
ZJHKR20_ZJWJ740;1955.00;81;38.02
ZKJJP20;1955.00;72;45.81
ZK9KC60;1955.00;109;41.16
ZJTJ960;1955.00;25;41.84
ZJQJI20;1955.00;91;39.7
ZJTJ820;1955.00;94;47.61
ZJHKR40;1960.00;53;37.08
ZJ7KV40_ZINKW40;1960.00;69;34.31
ZJSJD40;1960.00;109;23.61
ZK5JW60;1960.00;24;31.67
ZK7K820;1960.00;29;38.9
Z7230E0_ZK7KP40;1960.00;60;35.69
ZJHKR20_ZJWJ740;1960.00;74;38.39
ZKJJP20;1960.00;55;45.27
ZK9KC60;1960.00;125;39.73
ZJTJ960;1960.00;25;35.48
ZJQJI20;1960.00;76;40.62
ZJTJ820;1960.00;88;45.2
ZJHKR40;1965.00;54;32.46
ZJ7KV40_ZINKW40;1965.00;43;37.27
ZJSJD40;1965.00;75;21.43
ZK5JW60;1965.00;25;38.44
ZK7K820;1965.00;13;37.15
Z7230E0_ZK7KP40;1965.00;57;35.18
ZJHKR20_ZJWJ740;1965.00;97;38.9
ZKJJP20;1965.00;100;46.0
ZK9KC60;1965.00;129;56.15
ZJTJ960;1965.00;14;42.36
ZJQJI20;1965.00;98;37.2
ZJTJ820;1965.00;82;49.24
ZJHKR40;1970.00;46;30.87
ZJ7KV40_ZINKW40;1970.00;64;37.65
ZJSJD40;1970.00;117;19.53
ZK5JW60;1970.00;31;34.23
ZK7K820;1970.00;16;40.62
Z7230E0_ZK7KP40;1970.00;55;36.73
ZJHKR20_ZJWJ740;1970.00;86;39.43
ZKJJP20;1970.00;79;44.82
ZK9KC60;1970.00;93;44.65
ZJTJ960;1970.00;25;44.0
ZJQJI20;1970.00;64;39.42
ZJTJ820;1970.00;76;47.32
ZJHKR40;1975.00;49;32.71
ZJ7KV40_ZINKW40;1975.00;60;32.78
ZJSJD40;1975.00;81;25.0
ZK5JW60;1975.00;21;26.71
ZK7K820;1975.00;14;33.29
Z7230E0_ZK7KP40;1975.00;53;32.22
ZJHKR20_ZJWJ740;1975.00;74;37.34
ZKJJP20;1975.00;60;46.4
ZK9KC60;1975.00;100;42.76
ZJTJ960;1975.00;25;32.96
ZJQJI20;1975.00;83;45.67
ZJTJ820;1975.00;99;49.87
ZJHKR40;1980.00;54;33.63
ZJ7KV40_ZINKW40;1980.00;55;36.09
ZJSJD40;1980.00;85;20.24
ZK5JW60;1980.00;18;36.28
ZK7K820;1980.00;15;33.27
Z7230E0_ZK7KP40;1980.00;51;41.54
ZJHKR20_ZJWJ740;1980.00;92;44.45
ZKJJP20;1980.00;108;47.44
ZK9KC60;1980.00;123;44.99
ZJTJ960;1980.00;37;37.41
ZJQJI20;1980.00;86;36.63
ZJTJ820;1980.00;70;41.97
ZJHKR40;1985.00;33;34.85
ZJ7KV40_ZINKW40;1985.00;55;32.91
ZJSJD40;1985.00;63;22.46
ZK5JW60;1985.00;32;34.12
ZK7K820;1985.00;10;37.0
Z7230E0_ZK7KP40;1985.00;57;41.07
ZJHKR20_ZJWJ740;1985.00;73;37.89
ZKJJP20;1985.00;56;44.34
ZK9KC60;1985.00;118;43.31
ZJTJ960;1985.00;33;32.15
ZJQJI20;1985.00;66;44.61
ZJTJ820;1985.00;83;46.37
ZJHKR40;1990.00;42;32.26
ZJ7KV40_ZINKW40;1990.00;71;31.16
ZJSJD40;1990.00;101;25.42
ZK5JW60;1990.00;19;34.84
ZK7K820;1990.00;10;39.7
Z7230E0_ZK7KP40;1990.00;50;40.27
ZJHKR20_ZJWJ740;1990.00;78;39.42
ZKJJP20;1990.00;65;46.89
ZK9KC60;1990.00;103;46.68
ZJTJ960;1990.00;19;31.68
ZJQJI20;1990.00;80;36.5
ZJTJ820;1990.00;62;45.5
ZJHKR40;1995.00;59;32.29
ZJ7KV40_ZINKW40;1995.00;44;35.02
ZJSJD40;1995.00;90;24.63
ZK5JW60;1995.00;21;38.29
ZK7K820;1995.00;6;34.0
Z7230E0_ZK7KP40;1995.00;39;38.94
ZJHKR20_ZJWJ740;1995.00;97;41.91
ZKJJP20;1995.00;83;42.07
ZK9KC60;1995.00;132;48.3
ZJTJ960;1995.00;21;35.1
ZJQJI20;1995.00;84;38.69
ZJTJ820;1995.00;87;48.38
ZJHKR40;2000.00;32;39.03
ZJ7KV40_ZINKW40;2000.00;51;39.75
ZJSJD40;2000.00;86;17.02
ZK5JW60;2000.00;44;32.0
ZK7K820;2000.00;36;41.44
Z7230E0_ZK7KP40;2000.00;48;40.11
ZJHKR20_ZJWJ740;2000.00;74;43.31
ZKJJP20;2000.00;73;49.19
ZK9KC60;2000.00;99;58.02
ZJTJ960;2000.00;31;35.9
ZJQJI20;2000.00;67;42.9
ZJTJ820;2000.00;94;55.49
ZJHKR40;2005.00;48;30.77
ZJ7KV40_ZINKW40;2005.00;61;38.23
ZJSJD40;2005.00;98;26.09
ZK5JW60;2005.00;21;38.05
ZK7K820;2005.00;14;47.36
Z7230E0_ZK7KP40;2005.00;54;35.48
ZJHKR20_ZJWJ740;2005.00;76;42.26
ZKJJP20;2005.00;77;43.35
ZK9KC60;2005.00;94;44.76
ZJTJ960;2005.00;22;35.09
ZJQJI20;2005.00;71;38.52
ZJTJ820;2005.00;90;50.68
ZJHKR40;2010.00;48;29.25
ZJ7KV40_ZINKW40;2010.00;43;34.01
ZJSJD40;2010.00;102;18.57
ZK5JW60;2010.00;17;33.35
ZK7K820;2010.00;14;33.21
Z7230E0_ZK7KP40;2010.00;47;40.48
ZJHKR20_ZJWJ740;2010.00;109;41.69
ZKJJP20;2010.00;107;47.39
ZK9KC60;2010.00;130;46.75
ZJTJ960;2010.00;22;36.05
ZJQJI20;2010.00;80;42.91
ZJTJ820;2010.00;96;49.06
ZJHKR40;2015.00;38;33.68
ZJ7KV40_ZINKW40;2015.00;41;36.26
ZJSJD40;2015.00;65;24.4
ZK5JW60;2015.00;26;33.88
ZK7K820;2015.00;16;37.06
Z7230E0_ZK7KP40;2015.00;63;36.37
ZJHKR20_ZJWJ740;2015.00;72;39.5
ZKJJP20;2015.00;71;44.61
ZK9KC60;2015.00;94;37.73
ZJTJ960;2015.00;18;41.11
ZJQJI20;2015.00;75;43.12
ZJTJ820;2015.00;64;48.08
ZJHKR40;2020.00;38;35.13
ZJ7KV40_ZINKW40;2020.00;54;36.51
ZJSJD40;2020.00;82;24.3
ZK5JW60;2020.00;17;33.53
ZK7K820;2020.00;14;39.43
Z7230E0_ZK7KP40;2020.00;54;38.52
ZJHKR20_ZJWJ740;2020.00;79;43.52
ZKJJP20;2020.00;60;45.23
ZK9KC60;2020.00;102;59.26
ZJTJ960;2020.00;21;43.19
ZJQJI20;2020.00;70;42.77
ZJTJ820;2020.00;74;46.27
ZJHKR40;2025.00;48;39.17
ZJ7KV40_ZINKW40;2025.00;58;32.35
ZJSJD40;2025.00;85;27.35
ZK5JW60;2025.00;20;34.4
ZK7K820;2025.00;11;31.45
Z7230E0_ZK7KP40;2025.00;47;38.32
ZJHKR20_ZJWJ740;2025.00;104;38.62
ZKJJP20;2025.00;94;45.64
ZK9KC60;2025.00;127;46.36
ZJTJ960;2025.00;16;32.94
ZJQJI20;2025.00;87;38.36
ZJTJ820;2025.00;97;45.56
ZJHKR40;2030.00;40;31.48
ZJ7KV40_ZINKW40;2030.00;59;37.97
ZJSJD40;2030.00;84;22.56
ZK5JW60;2030.00;44;34.57
ZK7K820;2030.00;22;35.5
Z7230E0_ZK7KP40;2030.00;53;38.46
ZJHKR20_ZJWJ740;2030.00;91;38.97
ZKJJP20;2030.00;81;46.98
ZK9KC60;2030.00;109;50.32
ZJTJ960;2030.00;32;39.81
ZJQJI20;2030.00;72;43.56
ZJTJ820;2030.00;107;41.07
ZJHKR40;2035.00;47;28.28
ZJ7KV40_ZINKW40;2035.00;69;41.74
ZJSJD40;2035.00;106;28.74
ZK5JW60;2035.00;14;37.5
ZK7K820;2035.00;16;33.69
Z7230E0_ZK7KP40;2035.00;56;36.98
ZJHKR20_ZJWJ740;2035.00;86;37.16
ZKJJP20;2035.00;72;43.0
ZK9KC60;2035.00;116;53.01
ZJTJ960;2035.00;16;41.31
ZJQJI20;2035.00;80;38.67
ZJTJ820;2035.00;97;47.06
ZJHKR40;2040.00;45;29.84
ZJ7KV40_ZINKW40;2040.00;48;39.43
ZJSJD40;2040.00;92;22.16
ZK5JW60;2040.00;26;35.69
ZK7K820;2040.00;12;26.58
Z7230E0_ZK7KP40;2040.00;42;43.23
ZJHKR20_ZJWJ740;2040.00;91;39.45
ZKJJP20;2040.00;89;48.89
ZK9KC60;2040.00;143;49.11
ZJTJ960;2040.00;22;36.45
ZJQJI20;2040.00;94;40.5
ZJTJ820;2040.00;84;45.45
ZJHKR40;2045.00;37;35.0
ZJ7KV40_ZINKW40;2045.00;40;38.11
ZJSJD40;2045.00;99;21.17
ZK5JW60;2045.00;28;35.32
ZK7K820;2045.00;19;37.63
Z7230E0_ZK7KP40;2045.00;42;42.73
ZJHKR20_ZJWJ740;2045.00;86;37.42
ZKJJP20;2045.00;86;45.19
ZK9KC60;2045.00;107;51.09
ZJTJ960;2045.00;23;42.52
ZJQJI20;2045.00;82;42.68
ZJTJ820;2045.00;93;43.66
ZJHKR40;2050.00;54;32.54
ZJ7KV40_ZINKW40;2050.00;48;39.55
ZJSJD40;2050.00;97;24.02
ZK5JW60;2050.00;20;31.9
ZK7K820;2050.00;20;34.2
Z7230E0_ZK7KP40;2050.00;53;40.25
ZJHKR20_ZJWJ740;2050.00;76;39.84
ZKJJP20;2050.00;64;38.48
ZK9KC60;2050.00;91;46.42
ZJTJ960;2050.00;19;45.68
ZJQJI20;2050.00;76;42.68
ZJTJ820;2050.00;84;53.92
ZJHKR40;2055.00;38;32.45
ZJ7KV40_ZINKW40;2055.00;47;40.13
ZJSJD40;2055.00;81;23.46
ZK5JW60;2055.00;22;32.73
ZK7K820;2055.00;10;39.8
Z7230E0_ZK7KP40;2055.00;55;36.4
ZJHKR20_ZJWJ740;2055.00;107;39.54
ZKJJP20;2055.00;97;42.06
ZK9KC60;2055.00;130;50.54
ZJTJ960;2055.00;22;39.41
ZJQJI20;2055.00;76;39.16
ZJTJ820;2055.00;85;44.28
ZJHKR40;2060.00;31;31.65
ZJ7KV40_ZINKW40;2060.00;39;40.04
ZJSJD40;2060.00;86;20.76
ZK5JW60;2060.00;34;35.94
ZK7K820;2060.00;22;36.45
Z7230E0_ZK7KP40;2060.00;53;36.87
ZJHKR20_ZJWJ740;2060.00;89;39.84
ZKJJP20;2060.00;85;40.26
ZK9KC60;2060.00;122;52.92
