Detector;Time;qPKW;vPKW
ZKJJP20;65.00;100;43.41
ZK9KC60;65.00;94;41.03
ZJTJ960;65.00;24;44.54
ZJQJI20;65.00;110;37.34
ZJTJ820;65.00;113;44.34
ZJHKR40;70.00;59;34.31
ZJ7KV40_ZINKW40;70.00;45;40.36
ZJSJD40;70.00;95;24.06
ZK5JW60;70.00;36;29.14
ZK7K820;70.00;24;38.79
Z7230E0_ZK7KP40;70.00;64;39.43
ZJHKR20_ZJWJ740;70.00;108;41.58
ZKJJP20;70.00;158;42.32
ZK9KC60;70.00;133;38.69
ZJTJ960;70.00;28;41.75
ZJQJI20;70.00;82;40.6
ZJTJ820;70.00;149;40.01
ZJHKR40;75.00;91;36.09
ZJ7KV40_ZINKW40;75.00;85;42.05
ZJSJD40;75.00;75;22.31
ZK5JW60;75.00;32;34.91
ZK7K820;75.00;17;37.47
Z7230E0_ZK7KP40;75.00;78;38.43
ZJHKR20_ZJWJ740;75.00;81;44.02
ZKJJP20;75.00;101;44.45
ZK9KC60;75.00;97;40.08
ZJTJ960;75.00;20;41.65
ZJQJI20;75.00;94;45.8
ZJTJ820;75.00;158;40.54
ZJHKR40;80.00;75;31.83
ZJ7KV40_ZINKW40;80.00;50;38.12
ZJSJD40;80.00;93;24.32
ZK5JW60;80.00;51;32.43
ZK7K820;80.00;18;40.39
Z7230E0_ZK7KP40;80.00;60;37.52
ZJHKR20_ZJWJ740;80.00;122;40.4
ZKJJP20;80.00;177;45.38
ZK9KC60;80.00;144;39.23
ZJTJ960;80.00;34;41.76
ZJQJI20;80.00;93;45.92
ZJTJ820;80.00;141;45.5
ZJHKR40;85.00;93;34.26
ZJ7KV40_ZINKW40;85.00;87;36.94
ZJSJD40;85.00;83;23.12
ZK5JW60;85.00;31;23.74
ZK7K820;85.00;19;36.37
Z7230E0_ZK7KP40;85.00;77;39.32
ZJHKR20_ZJWJ740;85.00;71;41.29
ZKJJP20;85.00;117;40.58
ZK9KC60;85.00;100;38.49
ZJTJ960;85.00;25;39.6
ZJQJI20;85.00;91;41.0
ZJTJ820;85.00;128;44.21
ZJHKR40;90.00;73;33.81
ZJ7KV40_ZINKW40;90.00;53;34.56
ZJSJD40;90.00;87;23.39
ZK5JW60;90.00;44;34.66
ZK7K820;90.00;19;41.11
Z7230E0_ZK7KP40;90.00;74;37.01
ZJHKR20_ZJWJ740;90.00;105;41.5
ZKJJP20;90.00;163;44.44
ZK9KC60;90.00;121;37.05
ZJTJ960;90.00;32;48.06
ZJQJI20;90.00;91;44.3
ZJTJ820;90.00;136;47.35
ZJHKR40;95.00;74;33.58
ZJ7KV40_ZINKW40;95.00;91;38.49
ZJSJD40;95.00;92;28.04
ZK5JW60;95.00;27;33.37
ZK7K820;95.00;20;38.1
Z7230E0_ZK7KP40;95.00;76;40.13
ZJHKR20_ZJWJ740;95.00;94;41.43
ZKJJP20;95.00;98;47.68
ZK9KC60;95.00;96;39.25
ZJTJ960;95.00;13;40.38
ZJQJI20;95.00;109;45.37
ZJTJ820;95.00;117;46.29
ZJHKR40;100.00;44;32.32
ZJ7KV40_ZINKW40;100.00;48;37.53
ZJSJD40;100.00;81;20.7
ZK5JW60;100.00;32;34.0
ZK7K820;100.00;27;38.81
Z7230E0_ZK7KP40;100.00;68;37.78
ZJHKR20_ZJWJ740;100.00;119;44.63
ZKJJP20;100.00;169;41.99
ZK9KC60;100.00;136;39.85
ZJTJ960;100.00;28;42.07
ZJQJI20;100.00;111;41.02
ZJTJ820;100.00;134;46.88
ZJHKR40;105.00;107;35.18
ZJ7KV40_ZINKW40;105.00;93;37.55
ZJSJD40;105.00;99;20.97
ZK5JW60;105.00;31;39.26
ZK7K820;105.00;27;41.0
Z7230E0_ZK7KP40;105.00;73;38.15
ZJHKR20_ZJWJ740;105.00;70;39.19
ZKJJP20;105.00;99;45.15
ZK9KC60;105.00;82;41.83
ZJTJ960;105.00;24;48.62
ZJQJI20;105.00;115;41.6
ZJTJ820;105.00;127;43.52
ZJHKR40;110.00;72;26.18
ZJ7KV40_ZINKW40;110.00;49;38.52
ZJSJD40;110.00;90;22.2
ZK5JW60;110.00;37;32.22
ZK7K820;110.00;18;48.67
Z7230E0_ZK7KP40;110.00;60;40.65
ZJHKR20_ZJWJ740;110.00;100;43.96
ZKJJP20;110.00;197;39.04
ZK9KC60;110.00;138;38.78
ZJTJ960;110.00;27;44.81
ZJQJI20;110.00;78;43.91
ZJTJ820;110.00;118;44.44
ZJHKR40;115.00;60;31.85
ZJ7KV40_ZINKW40;115.00;83;40.56
ZJSJD40;115.00;100;21.0
ZK5JW60;115.00;39;35.79
ZK7K820;115.00;26;41.58
Z7230E0_ZK7KP40;115.00;68;37.1
ZJHKR20_ZJWJ740;115.00;67;43.34
ZKJJP20;115.00;111;42.62
ZK9KC60;115.00;97;41.69
ZJTJ960;115.00;24;55.46
ZJQJI20;115.00;118;39.31
ZJTJ820;115.00;134;50.71
ZJHKR40;120.00;55;30.36
ZJ7KV40_ZINKW40;120.00;58;38.91
ZJSJD40;120.00;89;17.15
ZK5JW60;120.00;35;34.17
ZK7K820;120.00;19;39.47
Z7230E0_ZK7KP40;120.00;86;38.33
ZJHKR20_ZJWJ740;120.00;119;40.86
ZKJJP20;120.00;151;42.64
ZK9KC60;120.00;131;43.21
ZJTJ960;120.00;28;42.54
ZJQJI20;120.00;72;44.17
ZJTJ820;120.00;123;42.03
ZJHKR40;125.00;71;39.25
ZJ7KV40_ZINKW40;125.00;84;40.04
ZJSJD40;125.00;98;21.09
ZK5JW60;125.00;32;36.91
ZK7K820;125.00;20;33.3
Z7230E0_ZK7KP40;125.00;78;36.1
ZJHKR20_ZJWJ740;125.00;83;38.81
ZKJJP20;125.00;123;46.02
ZK9KC60;125.00;91;35.01
ZJTJ960;125.00;30;44.2
ZJQJI20;125.00;122;41.8
ZJTJ820;125.00;125;50.66
ZJHKR40;130.00;70;25.59
ZJ7KV40_ZINKW40;130.00;66;42.01
ZJSJD40;130.00;91;20.49
ZK5JW60;130.00;41;31.44
ZK7K820;130.00;11;39.64
Z7230E0_ZK7KP40;130.00;78;30.54
ZJHKR20_ZJWJ740;130.00;109;42.7
ZKJJP20;130.00;184;37.82
ZK9KC60;130.00;133;39.53
ZJTJ960;130.00;29;37.97
ZJQJI20;130.00;84;45.08
ZJTJ820;130.00;142;48.65
ZJHKR40;135.00;75;32.61
ZJ7KV40_ZINKW40;135.00;83;36.72
ZJSJD40;135.00;87;20.44
ZK5JW60;135.00;48;37.83
ZK7K820;135.00;16;36.81
Z7230E0_ZK7KP40;135.00;83;27.16
ZJHKR20_ZJWJ740;135.00;96;40.62
ZKJJP20;135.00;126;38.67
ZK9KC60;135.00;101;36.75
ZJTJ960;135.00;20;42.5
ZJQJI20;135.00;99;42.16
ZJTJ820;135.00;137;46.42
ZJHKR40;140.00;78;29.81
ZJ7KV40_ZINKW40;140.00;51;38.13
ZJSJD40;140.00;100;23.31
ZK5JW60;140.00;48;34.67
ZK7K820;140.00;15;45.0
Z7230E0_ZK7KP40;140.00;77;27.91
ZJHKR20_ZJWJ740;140.00;125;41.73
ZKJJP20;140.00;172;44.08
ZK9KC60;140.00;140;31.36
ZJTJ960;140.00;23;39.39
ZJQJI20;140.00;80;42.2
ZJTJ820;140.00;133;44.46
ZJHKR40;145.00;93;33.25
ZJ7KV40_ZINKW40;145.00;94;37.81
ZJSJD40;145.00;109;20.88
ZK5JW60;145.00;42;32.83
ZK7K820;145.00;27;39.67
Z7230E0_ZK7KP40;145.00;82;25.87
ZJHKR20_ZJWJ740;145.00;74;41.47
ZKJJP20;145.00;132;38.84
ZK9KC60;145.00;88;40.84
ZJTJ960;145.00;21;39.95
ZJQJI20;145.00;125;42.63
ZJTJ820;145.00;152;43.72
ZJHKR40;150.00;84;28.81
ZJ7KV40_ZINKW40;150.00;56;39.94
ZJSJD40;150.00;100;19.69
ZK5JW60;150.00;36;33.69
ZK7K820;150.00;17;32.88
Z7230E0_ZK7KP40;150.00;73;28.63
ZJHKR20_ZJWJ740;150.00;127;40.61
ZKJJP20;150.00;194;41.55
ZK9KC60;150.00;159;31.41
ZJTJ960;150.00;23;38.04
ZJQJI20;150.00;93;38.45
ZJTJ820;150.00;141;47.45
ZJHKR40;155.00;100;28.49
ZJ7KV40_ZINKW40;155.00;99;39.79
ZJSJD40;155.00;99;23.6
ZK5JW60;155.00;43;35.67
ZK7K820;155.00;11;33.64
Z7230E0_ZK7KP40;155.00;88;27.67
ZJHKR20_ZJWJ740;155.00;88;37.03
ZKJJP20;155.00;114;42.11
ZK9KC60;155.00;92;38.64
ZJTJ960;155.00;34;42.62
ZJQJI20;155.00;113;43.2
ZJTJ820;155.00;144;44.93
ZJHKR40;160.00;52;32.12
ZJ7KV40_ZINKW40;160.00;59;40.35
ZJSJD40;160.00;85;23.13
ZK5JW60;160.00;53;30.13
ZK7K820;160.00;13;36.77
Z7230E0_ZK7KP40;160.00;65;27.3
ZJHKR20_ZJWJ740;160.00;116;42.02
ZKJJP20;160.00;180;46.64
ZK9KC60;160.00;138;43.05
ZJTJ960;160.00;31;49.71
ZJQJI20;160.00;110;43.85
ZJTJ820;160.00;149;42.4
ZJHKR40;165.00;76;35.04
ZJ7KV40_ZINKW40;165.00;89;40.65
ZJSJD40;165.00;115;23.22
ZK5JW60;165.00;68;30.18
ZK7K820;165.00;27;36.85
Z7230E0_ZK7KP40;165.00;79;37.29
ZJHKR20_ZJWJ740;165.00;91;41.22
ZKJJP20;165.00;105;41.0
ZK9KC60;165.00;93;41.71
ZJQJI20;165.00;127;41.85
ZJTJ820;165.00;140;44.24
ZJHKR40;170.00;74;33.5
ZJ7KV40_ZINKW40;170.00;56;35.56
ZJSJD40;170.00;75;25.07
ZK5JW60;170.00;43;30.35
ZK7K820;170.00;19;40.32
Z7230E0_ZK7KP40;170.00;69;39.47
ZJHKR20_ZJWJ740;170.00;128;42.51
ZKJJP20;170.00;176;44.05
ZK9KC60;170.00;132;38.81
ZJQJI20;170.00;93;42.95
ZJTJ820;170.00;155;45.21
ZJHKR40;175.00;95;26.96
ZJ7KV40_ZINKW40;175.00;83;36.96
ZJSJD40;175.00;133;25.29
ZK5JW60;175.00;48;33.4
ZK7K820;175.00;29;35.62
Z7230E0_ZK7KP40;175.00;70;40.9
ZJHKR20_ZJWJ740;175.00;86;41.85
ZKJJP20;175.00;122;43.48
ZK9KC60;175.00;99;40.15
ZJQJI20;175.00;121;39.92
ZJTJ820;175.00;138;47.8
ZJHKR40;180.00;99;36.38
ZJ7KV40_ZINKW40;180.00;97;40.84
ZJSJD40;180.00;99;21.33
ZK5JW60;180.00;47;34.85
ZK7K820;180.00;13;37.92
Z7230E0_ZK7KP40;180.00;73;34.4
ZJHKR20_ZJWJ740;180.00;115;39.79
ZKJJP20;180.00;163;42.41
ZK9KC60;180.00;127;37.13
ZJQJI20;180.00;115;39.73
ZJTJ820;180.00;143;47.44
ZJHKR40;185.00;50;39.74
ZJ7KV40_ZINKW40;185.00;83;40.53
ZJSJD40;185.00;71;23.41
ZK5JW60;185.00;65;39.86
ZK7K820;185.00;35;35.03
Z7230E0_ZK7KP40;185.00;71;36.61
ZJHKR20_ZJWJ740;185.00;107;36.83
ZKJJP20;185.00;162;40.88
ZK9KC60;185.00;118;36.31
ZJQJI20;185.00;105;38.26
ZJTJ820;185.00;121;45.38
ZJHKR40;190.00;78;33.32
ZJ7KV40_ZINKW40;190.00;85;35.66
ZJSJD40;190.00;110;24.95
ZK5JW60;190.00;24;26.67
ZK7K820;190.00;19;34.79
Z7230E0_ZK7KP40;190.00;68;37.6
ZJHKR20_ZJWJ740;190.00;113;42.89
ZKJJP20;190.00;141;42.14
ZK9KC60;190.00;117;34.64
ZJQJI20;190.00;98;42.97
ZJTJ820;190.00;133;44.6
ZJHKR40;195.00;58;36.19
ZJ7KV40_ZINKW40;195.00;75;40.78
ZJSJD40;195.00;73;23.19
ZK5JW60;195.00;61;35.26
ZK7K820;195.00;25;36.32
Z7230E0_ZK7KP40;195.00;85;36.12
ZJHKR20_ZJWJ740;195.00;110;39.72
ZKJJP20;195.00;154;42.3
ZK9KC60;195.00;114;32.9
ZJQJI20;195.00;120;39.25
ZJTJ820;195.00;170;42.66
ZJHKR40;200.00;96;32.06
ZJ7KV40_ZINKW40;200.00;87;41.1
ZJSJD40;200.00;113;22.99
ZK5JW60;200.00;50;31.84
ZK7K820;200.00;20;35.85
